date,loss_ratio
2023-09-12,0.0020305114515787
2023-09-11,0.0021012013687727
2023-11-20,0.0021181315543339
2023-09-28,0.002124166654695
2023-11-15,0.0021661881226141
2023-10-10,0.0021692754793525
2023-10-12,0.0021903745660278
2023-09-25,0.0022144353022091
2023-09-19,0.0022311211474174
2023-09-22,0.0022350288256407
2023-12-04,0.0022400674125517
2023-01-20,0.0022413974389538
2023-07-25,0.0022441992263899
2023-08-10,0.0022480821464581
2023-09-06,0.0022495558981402
2023-07-11,0.002262301445013
2023-02-24,0.0022623106375581
2023-07-18,0.0022636730416136
2023-12-12,0.0022790460457354
2023-10-13,0.0022866292618718
2023-11-23,0.0023004447849881
2023-08-17,0.0023157302733059
2023-08-15,0.0023427724584522
2023-11-27,0.0023513026128877
2023-08-03,0.0023518225468962
2023-02-09,0.0023531505084653
2023-11-01,0.0023644346389074
2023-02-22,0.0023656512236325
2023-07-13,0.0023863506339585
2023-07-10,0.002388518078128
2023-12-27,0.002395313008681
2023-05-22,0.0024011975941292
2023-11-03,0.0024019083005784
2023-08-09,0.0024089813793371
2023-06-05,0.0024090856009577
2023-01-18,0.0024111468998672
2023-03-01,0.0024141135952117
2023-07-06,0.0024216280904837
2023-11-09,0.0024226880117311
2023-11-17,0.0024254721722805
2023-07-03,0.002427838983161
2023-10-09,0.0024291767892909
2023-07-19,0.0024355974802025
2023-12-18,0.0024372485329071
2023-07-28,0.0024542640816734
2023-08-01,0.002466262385358
2023-09-18,0.0024684943780852
2023-08-31,0.0024698022271248
2023-03-22,0.0024792901208048
2023-11-29,0.0024814658803071
2023-10-24,0.0024885606789853
2023-03-03,0.0024941880575604
2023-01-10,0.002494464125568
2023-05-18,0.0024958361083073
2023-03-06,0.0024958543617983
2023-07-24,0.0024996405746845
2023-11-21,0.0025130799188045
2023-11-06,0.0025188852318753
2023-02-10,0.002520952370733
2023-12-11,0.0025263053078564
2023-01-17,0.0025316402629811
2023-09-04,0.0025472224933186
2023-03-24,0.0025497631902452
2023-01-05,0.0025544058195257
2023-02-27,0.0025663868892812
2023-06-13,0.0025665762925516
2023-02-15,0.0025669413285227
2023-06-27,0.0025674999942006
2023-07-14,0.002568646918709
2023-08-04,0.0025764545855561
2023-01-30,0.0025782973058003
2023-01-09,0.0025873711937784
2023-09-05,0.0025988908291844
2023-02-14,0.0026112154998776
2023-02-13,0.0026168612465141
2023-04-18,0.0026239101264465
2023-03-15,0.0026266776798742
2023-03-31,0.0026270027144548
2023-11-10,0.0026322164457118
2023-04-17,0.0026392554010854
2023-07-04,0.0026401098649208
2023-04-12,0.0026417771672527
2023-06-02,0.0026422815954906
2023-07-21,0.0026424846879543
2023-01-31,0.0026436242950195
2023-03-02,0.0026453709490345
2023-07-26,0.0026454914713055
2023-02-20,0.0026487612157258
2023-12-01,0.0026552090695996
2023-12-26,0.0026676671817759
2023-05-29,0.0026710881520437
2023-10-18,0.0026769719137693
2023-10-20,0.0026800679741092
2023-06-16,0.0026865603224811
2023-01-19,0.0026927135921992
2023-02-02,0.0027006754189285
2022-03-02,0.0027050051612674
2023-08-14,0.0027055052470334
2023-04-07,0.0027166561729181
2023-05-19,0.0027210973983155
2023-02-03,0.0027217558391169
2023-01-16,0.0027252340879027
2023-03-09,0.0027297501854463
2023-06-28,0.0027313369264777
2023-11-24,0.0027332576819816
2023-04-03,0.0027355951741307
2023-12-25,0.0027451635486658
2023-06-19,0.0027569916804401
2022-12-02,0.0027572617463421
2023-04-14,0.0027576325582856
2023-05-08,0.0027599442309931
2023-08-08,0.0027613191244636
2023-06-14,0.0027646262446087
2023-06-30,0.0027666409275175
2023-05-16,0.0027746071687196
2023-07-07,0.0027796072138731
2023-12-15,0.0027813432738647
2023-09-14,0.0027833398031577
2023-09-01,0.0027840426783688
2023-01-06,0.0027909660619156
2023-01-04,0.0027950065765
2023-05-30,0.0027967565388774
2023-12-06,0.0028027619238023
2023-06-01,0.0028091483085899
2023-11-30,0.0028120509736543
2023-09-26,0.0028197525873923
2022-12-26,0.0028222282085416
2023-08-02,0.0028222404685574
2023-06-15,0.0028246626414589
2023-07-27,0.0028275904127247
2022-08-11,0.0028301455652744
2023-05-26,0.002833588135159
2023-03-16,0.0028353810973523
2022-02-23,0.0028379456728362
2023-07-31,0.002850572257283
2023-04-04,0.0028602561772421
2023-11-07,0.0028616428503632
2023-05-17,0.0028653317522914
2022-11-29,0.0028664119036118
2023-03-23,0.0028766571948834
2022-10-18,0.0028838997588392
2023-01-12,0.002889806651527
2023-05-04,0.0028945853261787
2023-06-08,0.0028999434841718
2023-10-25,0.0029022320375691
2022-08-16,0.0029036266466353
2023-09-08,0.0029077531669662
2022-10-17,0.0029154816872031
2023-01-03,0.0029211616831856
2023-08-07,0.0029273990864717
2022-09-14,0.0029298492344969
2023-12-21,0.0029337133527641
2022-12-30,0.0029373778174493
2023-02-01,0.0029398744762766
2022-11-04,0.0029399502446816
2022-07-27,0.0029448147085056
2022-12-27,0.002947331780022
2023-06-29,0.0029476284081388
2022-07-20,0.002959800657007
2023-12-14,0.0029678102971885
2022-12-12,0.0029706392566336
2023-03-27,0.0029709488006699
2022-08-15,0.0029714621330191
2023-04-11,0.0029784089940761
2023-11-14,0.0029797836754365
2023-05-05,0.0029880368920843
2022-12-28,0.0029938638534393
2022-09-09,0.0030032081332908
2021-04-19,0.0030050554468793
2022-11-24,0.0030102956431481
2023-11-28,0.0030104302063829
2023-03-30,0.0030117858714387
2023-04-28,0.0030145857469668
2023-02-06,0.0030165090839513
2021-05-25,0.0030176857233713
